id,phdr_in_vivo_result_id,phdr_clinical_trial_id
EBR_63:C-EDGE CO-INFECTION,EBR_63,C-EDGE CO-INFECTION
EBR_63:C-EDGE TE,EBR_63,C-EDGE TE
EBR_63:C-EDGE TN,EBR_63,C-EDGE TN
EBR_63:C-SALVAGE,EBR_63,C-SALVAGE
EBR_63:C-SURFER,EBR_63,C-SURFER
EBR_63:C-WORTHY,EBR_63,C-WORTHY
EBR_64:C-EDGE CO-INFECTION,EBR_64,C-EDGE CO-INFECTION
EBR_64:C-EDGE TE,EBR_64,C-EDGE TE
EBR_64:C-EDGE TN,EBR_64,C-EDGE TN
EBR_64:C-SALVAGE,EBR_64,C-SALVAGE
EBR_64:C-SURFER,EBR_64,C-SURFER
EBR_64:C-WORTHY,EBR_64,C-WORTHY
EBR_66:C-EDGE CO-INFECTION,EBR_66,C-EDGE CO-INFECTION
EBR_66:C-EDGE TE,EBR_66,C-EDGE TE
EBR_66:C-EDGE TN,EBR_66,C-EDGE TN
EBR_66:C-SALVAGE,EBR_66,C-SALVAGE
EBR_66:C-SURFER,EBR_66,C-SURFER
EBR_66:C-WORTHY,EBR_66,C-WORTHY
EBR_68:C-EDGE CO-INFECTION,EBR_68,C-EDGE CO-INFECTION
EBR_68:C-EDGE TE,EBR_68,C-EDGE TE
EBR_68:C-EDGE TN,EBR_68,C-EDGE TN
EBR_68:C-SALVAGE,EBR_68,C-SALVAGE
EBR_68:C-SURFER,EBR_68,C-SURFER
EBR_68:C-WORTHY,EBR_68,C-WORTHY
EBR_6:C-WORTHY,EBR_6,C-WORTHY
EBR_72:C-EDGE CO-INFECTION,EBR_72,C-EDGE CO-INFECTION
EBR_72:C-EDGE TE,EBR_72,C-EDGE TE
EBR_72:C-EDGE TN,EBR_72,C-EDGE TN
EBR_72:C-SALVAGE,EBR_72,C-SALVAGE
EBR_72:C-SURFER,EBR_72,C-SURFER
EBR_72:C-WORTHY,EBR_72,C-WORTHY
EBR_73:C-EDGE CO-INFECTION,EBR_73,C-EDGE CO-INFECTION
EBR_74:C-EDGE CO-INFECTION,EBR_74,C-EDGE CO-INFECTION
EBR_75:C-EDGE CO-INFECTION,EBR_75,C-EDGE CO-INFECTION
EBR_76:C-EDGE TE,EBR_76,C-EDGE TE
EBR_77:C-EDGE TE,EBR_77,C-EDGE TE
EBR_78:C-EDGE TE,EBR_78,C-EDGE TE
EBR_79:C-EDGE TE,EBR_79,C-EDGE TE
EBR_7:C-WORTHY,EBR_7,C-WORTHY
EBR_80:C-EDGE TE,EBR_80,C-EDGE TE
EBR_81:C-EDGE TE,EBR_81,C-EDGE TE
EBR_82:C-EDGE TE,EBR_82,C-EDGE TE
EBR_83:C-EDGE TE,EBR_83,C-EDGE TE
EBR_84:C-EDGE TE,EBR_84,C-EDGE TE
EBR_85:C-EDGE TE,EBR_85,C-EDGE TE
EBR_86:NCT02203149,EBR_86,NCT02203149
EBR_87:NCT02203149,EBR_87,NCT02203149
EBR_88:NCT02203149,EBR_88,NCT02203149
EBR_89:NCT02203149,EBR_89,NCT02203149
EBR_8:C-WORTHY,EBR_8,C-WORTHY
EBR_90:C-EDGE CO-INFECTION,EBR_90,C-EDGE CO-INFECTION
EBR_90:C-EDGE TE,EBR_90,C-EDGE TE
EBR_90:C-EDGE TN,EBR_90,C-EDGE TN
EBR_90:C-SALVAGE,EBR_90,C-SALVAGE
EBR_90:C-SURFER,EBR_90,C-SURFER
EBR_90:C-WORTHY,EBR_90,C-WORTHY
EBR_91:C-EDGE CO-INFECTION,EBR_91,C-EDGE CO-INFECTION
EBR_91:C-EDGE TE,EBR_91,C-EDGE TE
EBR_91:C-EDGE TN,EBR_91,C-EDGE TN
EBR_91:C-SALVAGE,EBR_91,C-SALVAGE
EBR_91:C-SURFER,EBR_91,C-SURFER
EBR_91:C-WORTHY,EBR_91,C-WORTHY
EBR_92:C-EDGE CO-INFECTION,EBR_92,C-EDGE CO-INFECTION
EBR_92:C-EDGE TE,EBR_92,C-EDGE TE
EBR_92:C-EDGE TN,EBR_92,C-EDGE TN
EBR_92:C-SALVAGE,EBR_92,C-SALVAGE
EBR_92:C-SURFER,EBR_92,C-SURFER
EBR_92:C-WORTHY,EBR_92,C-WORTHY
EBR_93:C-EDGE CO-INFECTION,EBR_93,C-EDGE CO-INFECTION
EBR_93:C-EDGE TE,EBR_93,C-EDGE TE
EBR_93:C-EDGE TN,EBR_93,C-EDGE TN
EBR_93:C-SALVAGE,EBR_93,C-SALVAGE
EBR_93:C-SURFER,EBR_93,C-SURFER
EBR_93:C-WORTHY,EBR_93,C-WORTHY
EBR_94:C-EDGE CO-INFECTION,EBR_94,C-EDGE CO-INFECTION
EBR_94:C-EDGE TE,EBR_94,C-EDGE TE
EBR_94:C-EDGE TN,EBR_94,C-EDGE TN
EBR_94:C-SALVAGE,EBR_94,C-SALVAGE
EBR_94:C-SURFER,EBR_94,C-SURFER
EBR_94:C-WORTHY,EBR_94,C-WORTHY
EBR_95:C-EDGE CO-INFECTION,EBR_95,C-EDGE CO-INFECTION
EBR_95:C-EDGE TE,EBR_95,C-EDGE TE
EBR_95:C-EDGE TN,EBR_95,C-EDGE TN
EBR_95:C-SALVAGE,EBR_95,C-SALVAGE
EBR_95:C-SURFER,EBR_95,C-SURFER
EBR_95:C-WORTHY,EBR_95,C-WORTHY
