id,phdr_in_vivo_result_id,phdr_regimen_id
EBR_36:EBR_GZR_RBV,EBR_36,EBR_GZR_RBV
EBR_3:EBR_GZR,EBR_3,EBR_GZR
EBR_3:EBR_GZR_RBV,EBR_3,EBR_GZR_RBV
EBR_4:EBR_GZR,EBR_4,EBR_GZR
EBR_4:EBR_GZR_RBV,EBR_4,EBR_GZR_RBV
EBR_59:EBR_GZR,EBR_59,EBR_GZR
EBR_59:EBR_GZR_RBV,EBR_59,EBR_GZR_RBV
EBR_5:EBR_GZR,EBR_5,EBR_GZR
EBR_5:EBR_GZR_RBV,EBR_5,EBR_GZR_RBV
EBR_61:EBR_GZR,EBR_61,EBR_GZR
EBR_61:EBR_GZR_RBV,EBR_61,EBR_GZR_RBV
EBR_63:EBR_GZR,EBR_63,EBR_GZR
EBR_63:EBR_GZR_RBV,EBR_63,EBR_GZR_RBV
EBR_64:EBR_GZR,EBR_64,EBR_GZR
EBR_64:EBR_GZR_RBV,EBR_64,EBR_GZR_RBV
EBR_66:EBR_GZR,EBR_66,EBR_GZR
EBR_66:EBR_GZR_RBV,EBR_66,EBR_GZR_RBV
EBR_68:EBR_GZR,EBR_68,EBR_GZR
EBR_68:EBR_GZR_RBV,EBR_68,EBR_GZR_RBV
EBR_6:EBR_GZR,EBR_6,EBR_GZR
EBR_6:EBR_GZR_RBV,EBR_6,EBR_GZR_RBV
EBR_72:EBR_GZR,EBR_72,EBR_GZR
EBR_72:EBR_GZR_RBV,EBR_72,EBR_GZR_RBV
EBR_73:EBR_GZR,EBR_73,EBR_GZR
EBR_74:EBR_GZR,EBR_74,EBR_GZR
EBR_75:EBR_GZR,EBR_75,EBR_GZR
EBR_76:EBR_GZR,EBR_76,EBR_GZR
EBR_76:EBR_GZR_RBV,EBR_76,EBR_GZR_RBV
EBR_77:EBR_GZR,EBR_77,EBR_GZR
EBR_77:EBR_GZR_RBV,EBR_77,EBR_GZR_RBV
EBR_78:EBR_GZR,EBR_78,EBR_GZR
EBR_78:EBR_GZR_RBV,EBR_78,EBR_GZR_RBV
EBR_79:EBR_GZR,EBR_79,EBR_GZR
EBR_79:EBR_GZR_RBV,EBR_79,EBR_GZR_RBV
EBR_7:EBR_GZR,EBR_7,EBR_GZR
EBR_7:EBR_GZR_RBV,EBR_7,EBR_GZR_RBV
EBR_80:EBR_GZR,EBR_80,EBR_GZR
EBR_80:EBR_GZR_RBV,EBR_80,EBR_GZR_RBV
EBR_81:EBR_GZR,EBR_81,EBR_GZR
EBR_81:EBR_GZR_RBV,EBR_81,EBR_GZR_RBV
EBR_82:EBR_GZR,EBR_82,EBR_GZR
EBR_82:EBR_GZR_RBV,EBR_82,EBR_GZR_RBV
EBR_83:EBR_GZR,EBR_83,EBR_GZR
EBR_83:EBR_GZR_RBV,EBR_83,EBR_GZR_RBV
EBR_84:EBR_GZR,EBR_84,EBR_GZR
EBR_84:EBR_GZR_RBV,EBR_84,EBR_GZR_RBV
EBR_85:EBR_GZR,EBR_85,EBR_GZR
EBR_85:EBR_GZR_RBV,EBR_85,EBR_GZR_RBV
EBR_86:EBR_GZR,EBR_86,EBR_GZR
EBR_87:EBR_GZR,EBR_87,EBR_GZR
EBR_88:EBR_GZR,EBR_88,EBR_GZR
EBR_89:EBR_GZR,EBR_89,EBR_GZR
EBR_8:EBR_GZR,EBR_8,EBR_GZR
EBR_8:EBR_GZR_RBV,EBR_8,EBR_GZR_RBV
EBR_90:EBR_GZR,EBR_90,EBR_GZR
EBR_90:EBR_GZR_RBV,EBR_90,EBR_GZR_RBV
EBR_91:EBR_GZR,EBR_91,EBR_GZR
EBR_91:EBR_GZR_RBV,EBR_91,EBR_GZR_RBV
EBR_92:EBR_GZR,EBR_92,EBR_GZR
EBR_92:EBR_GZR_RBV,EBR_92,EBR_GZR_RBV
EBR_93:EBR_GZR,EBR_93,EBR_GZR
EBR_93:EBR_GZR_RBV,EBR_93,EBR_GZR_RBV
